wrestler 1,wrestler 1 id,wrestler 1 nationality,wrestler 2,wrestler 2 id,wrestler 2 nationality,current champion,winner,match ending,card order,title,match type,date,show name,location,W1 Age,W1 PPV Matches,W1 PPV Wins,W1 PPV DQ Wins,W1 PPV Pin Wins,W1 PPV Sub Wins,W1 PPV Losses,W1 PPV DQ Losses,W1 PPV Pin Losses,W1 PPV Sub Losses,W1 PPV Draws,W1 PPV Streak,W1 PPV Championship Wins,W1 PPV Championship Losses,W1 PPV Championship Defense Wins,W1 PPV Championship Defense Losses,W1 PPV Championship Challenge Wins,W1 PPV Championship Challenge Losses,W1 Last PPV Match,W1 H2H PPV Matches,W1 H2H PPV Wins,W1 H2H PPV DQ Wins,W1 H2H PPV Pin Wins,W1 H2H PPV Sub Wins,W1 H2H PPV Losses,W1 H2H PPV DQ Losses,W1 H2H PPV Pin Losses,W1 H2H PPV Sub Losses,W1 H2H PPV Draws,W1 H2H PPV Streak,W1 H2H PPV Championship Wins,W1 H2H PPV Championship Losses,W1 H2H PPV Championship Defense Wins,W1 H2H PPV Championship Defense Losses,W1 H2H PPV Championship Challenge Wins,W1 H2H PPV Championship Challenge Losses,W1 H2H Last PPV Match,W1 PWI Ranking,W1 PWI Change,W2 Age,W2 PPV Matches,W2 PPV Wins,W2 PPV DQ Wins,W2 PPV Pin Wins,W2 PPV Sub Wins,W2 PPV Losses,W2 PPV DQ Losses,W2 PPV Pin Losses,W2 PPV Sub Losses,W2 PPV Draws,W2 PPV Streak,W2 PPV Championship Wins,W2 PPV Championship Losses,W2 PPV Championship Defense Wins,W2 PPV Championship Defense Losses,W2 PPV Championship Challenge Wins,W2 PPV Championship Challenge Losses,W2 Last PPV Match,W2 PPV Matches,W2 H2H PPV Wins,W2 H2H PPV DQ Wins,W2 H2H PPV Pin Wins,W2 H2H PPV Sub Wins,W2 H2H PPV Losses,W2 H2H PPV DQ Losses,W2 H2H PPV Pin Losses,W2 H2H PPV Sub Losses,W2 H2H PPV Draws,W2 H2H PPV Streak,W2 H2H PPV Championship Wins,W2 H2H PPV Championship Losses,W2 H2H PPV Championship Defense Wins,W2 H2H PPV Championship Defense Losses,W2 H2H PPV Championship Challenge Wins,W2 H2H PPV Championship Challenge Losses,W2 H2H Last PPV Match,W2 PWI Ranking,W2 PWI Change
Junkyard Dog,9,USA,The Iron Sheik,12,IRN,None,true,pin,5,"","",1985-11-07,The Wrestling Classic,Rosemont,32.92328767123288,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1985-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,42.68219178082192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Moondog Spot,30,USA,Terry Funk,31,USA,None,true,CO,6,"","",1985-11-07,The Wrestling Classic,Rosemont,33.86027397260274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,41.38356164383562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Tito Santana,1,USA,Don Muraco,32,USA,None,true,pin,7,"","",1985-11-07,The Wrestling Classic,Rosemont,32.51780821917808,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1985-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,36.18356164383562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Paul Orndorff,22,USA,Bob Orton Jr.,33,USA,None,true,DQ,8,"","",1985-11-07,The Wrestling Classic,Rosemont,36.04931506849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,35.016438356164386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Dynamite Kid,26,ENG,Adrian Adonis,24,USA,None,true,pin,9,"","",1985-11-07,The Wrestling Classic,Rosemont,26.942465753424656,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,31.167123287671235,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Randy Savage,27,USA,Ricky Steamboat,5,USA,None,true,pin,10,"","",1985-11-07,The Wrestling Classic,Rosemont,33.0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,32.71232876712329,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Junkyard Dog,9,USA,Moondog Spot,30,USA,None,true,pin,11,"","",1985-11-07,The Wrestling Classic,Rosemont,32.92328767123288,2,2,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,33.86027397260274,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Tito Santana,1,USA,Paul Orndorff,22,USA,None,false,DCO,12,"","",1985-11-07,The Wrestling Classic,Rosemont,32.51780821917808,2,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,36.04931506849315,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Randy Savage,27,USA,Dynamite Kid,26,ENG,None,true,pin,13,"","",1985-11-07,The Wrestling Classic,Rosemont,33.0,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,26.942465753424656,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Hulk Hogan,19,USA,Roddy Piper,21,CAN,Wrestler 1,true,DQ,14,WWF World Heavyweight Title,"",1985-11-07,The Wrestling Classic,Rosemont,32.26301369863014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,31.58082191780822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Junkyard Dog,9,USA,Randy Savage,27,USA,None,true,CO,15,"","",1985-11-07,The Wrestling Classic,Rosemont,32.92328767123288,3,3,0,2,0,0,0,0,0,0,3,1,0,0,0,1,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,33.0,3,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Paul Orndorff,22,USA,The Magnificent Muraco,32,USA,None,false,DDQ,1,"","",1986-04-07,WrestleMania 2 (NY),Uniondale,36.463013698630135,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,36.5972602739726,1,0,0,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Randy Savage,27,USA,George Steele,35,USA,Wrestler 1,true,pin,2,WWF Intercontinental Title,"",1986-04-07,WrestleMania 2 (NY),Uniondale,33.413698630136984,4,3,0,3,0,1,0,0,0,0,-1,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,49.00821917808219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Jake Roberts,37,USA,George Wells,36,USA,None,true,pin,3,"","",1986-04-07,WrestleMania 2 (NY),Uniondale,30.876712328767123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,38.463013698630135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Mr. T.,20,USA,Roddy Piper,21,CAN,None,true,DQ,4,"",ring announcer: Joan Riversjudge: G. Gordon Liddyjudge: Cab Callowayjudge: Darryl Dawkinstimekeeper: Herb from Burger Kingboxing,1986-04-07,WrestleMania 2 (NY),Uniondale,33.9013698630137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,31.994520547945207,1,0,0,0,0,1,1,0,0,0,-1,0,1,0,0,0,1,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
The Fabulous Moolah,38,USA,Velvet McIntyre,39,CAN,Wrestler 1,true,pin,1,WWF Women's Title,"",1986-04-07,WrestleMania 2 (IL),Rosemont,62.75342465753425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,23.383561643835616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Corporal Kirchner,25,USA,Nikolai Volkoff,11,YUG,None,true,pin,2,"",flag,1986-04-07,WrestleMania 2 (IL),Rosemont,28.6,1,0,0,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,38.50684931506849,1,0,0,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Ricky Steamboat,5,USA,Hercules Hernandez,57,USA,None,true,pin,1,"","",1986-04-07,WrestleMania 2 (CA),Los Angeles,33.12602739726027,3,2,0,1,0,1,0,1,0,0,-1,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,28.936986301369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Adrian Adonis,24,USA,Uncle Elmer,58,mer,None,true,pin,2,"","",1986-04-07,WrestleMania 2 (CA),Los Angeles,31.58082191780822,2,1,0,1,0,1,0,1,0,0,-1,0,0,0,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,48.673972602739724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Hulk Hogan,19,USA,King Kong Bundy,3,USA,Wrestler 1,true,,4,WWF World Heavyweight Title,referee: Robert Conradring announcer: Tommy Lasordatimekeeper: Ricky Schrodersteel cage,1986-04-07,WrestleMania 2 (CA),Los Angeles,32.676712328767124,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,28.432876712328767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Billy Jack Haynes,62,USA,Hercules,57,USA,None,false,DCO,2,"","",1987-03-29,WrestleMania III,Pontiac,33.73972602739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,29.912328767123288,1,0,0,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,1986-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Harley Race,67,USA,Junkyard Dog,9,USA,None,true,pin,4,"",loser must bow,1987-03-29,WrestleMania III,Pontiac,43.99452054794521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,34.31232876712329,4,4,0,2,0,0,0,0,0,0,4,1,0,0,0,1,0,1985-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Roddy Piper,21,CAN,Adrian Adonis,24,USA,None,true,sub,6,"",hair vs. hair,1987-03-29,WrestleMania III,Pontiac,32.96986301369863,2,0,0,0,0,2,2,0,0,0,-2,0,1,0,0,0,1,1986-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,32.556164383561644,3,2,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,1986-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Butch Reed,71,USA,Koko B Ware,72,USA,None,true,pin,8,"","",1987-03-29,WrestleMania III,Pontiac,32.73698630136986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,29.791780821917808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Ricky Steamboat,5,USA,Randy Savage,27,USA,Wrestler 2,true,pin,9,WWF Intercontinental Title,"",1987-03-29,WrestleMania III,Pontiac,34.1013698630137,4,3,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,1986-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,34.38904109589041,5,4,0,4,0,1,0,0,0,0,1,1,0,1,0,0,0,1986-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Honky Tonk Man,73,USA,Jake Roberts,37,USA,None,true,pin,10,"","",1987-03-29,WrestleMania III,Pontiac,34.1945205479452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,31.852054794520548,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1986-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Hulk Hogan,19,USA,Andre the Giant,15,FRA,Wrestler 1,true,pin,12,WWF World Heavyweight Title,ring announcer: Bob Ueckertimekeeper: Mary Hart ,1987-03-29,WrestleMania III,Pontiac,33.652054794520545,2,2,1,0,0,0,0,0,0,0,2,2,0,2,0,0,0,1986-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,40.88767123287671,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1985-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Ted DiBiase,82,USA,Jim Duggan,83,USA,None,true,pin,2,"","",1988-03-27,WrestleMania IV,Atlantic City,34.21095890410959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,34.221917808219175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Don Muraco,32,USA,Dino Bravo,84,CAN,None,true,DQ,3,"","",1988-03-27,WrestleMania IV,Atlantic City,38.56986301369863,2,0,0,0,0,1,0,1,0,1,-1,0,0,0,0,0,0,1986-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,40.66849315068493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
