wrestler 1,wrestler 1 id,wrestler 1 nationality,wrestler 2,wrestler 2 id,wrestler 2 nationality,current champion,winner,match ending,card order,title,match type,date,show name,location,W1 Age,W1 PPV Matches,W1 PPV Wins,W1 PPV DQ Wins,W1 PPV Pin Wins,W1 PPV Sub Wins,W1 PPV Losses,W1 PPV DQ Losses,W1 PPV Pin Losses,W1 PPV Sub Losses,W1 PPV Draws,W1 PPV Streak,W1 PPV Championship Wins,W1 PPV Championship Losses,W1 PPV Championship Defense Wins,W1 PPV Championship Defense Losses,W1 PPV Championship Challenge Wins,W1 PPV Championship Challenge Losses,W1 Last PPV Match,W1 H2H PPV Matches,W1 H2H PPV Wins,W1 H2H PPV DQ Wins,W1 H2H PPV Pin Wins,W1 H2H PPV Sub Wins,W1 H2H PPV Losses,W1 H2H PPV DQ Losses,W1 H2H PPV Pin Losses,W1 H2H PPV Sub Losses,W1 H2H PPV Draws,W1 H2H PPV Streak,W1 H2H PPV Championship Wins,W1 H2H PPV Championship Losses,W1 H2H PPV Championship Defense Wins,W1 H2H PPV Championship Defense Losses,W1 H2H PPV Championship Challenge Wins,W1 H2H PPV Championship Challenge Losses,W1 H2H Last PPV Match,W1 PWI Ranking,W1 PWI Change,W2 Age,W2 PPV Matches,W2 PPV Wins,W2 PPV DQ Wins,W2 PPV Pin Wins,W2 PPV Sub Wins,W2 PPV Losses,W2 PPV DQ Losses,W2 PPV Pin Losses,W2 PPV Sub Losses,W2 PPV Draws,W2 PPV Streak,W2 PPV Championship Wins,W2 PPV Championship Losses,W2 PPV Championship Defense Wins,W2 PPV Championship Defense Losses,W2 PPV Championship Challenge Wins,W2 PPV Championship Challenge Losses,W2 Last PPV Match,W2 PPV Matches,W2 H2H PPV Wins,W2 H2H PPV DQ Wins,W2 H2H PPV Pin Wins,W2 H2H PPV Sub Wins,W2 H2H PPV Losses,W2 H2H PPV DQ Losses,W2 H2H PPV Pin Losses,W2 H2H PPV Sub Losses,W2 H2H PPV Draws,W2 H2H PPV Streak,W2 H2H PPV Championship Wins,W2 H2H PPV Championship Losses,W2 H2H PPV Championship Defense Wins,W2 H2H PPV Championship Defense Losses,W2 H2H PPV Championship Challenge Wins,W2 H2H PPV Championship Challenge Losses,W2 H2H Last PPV Match,W2 PWI Ranking,W2 PWI Change
The Rock,229,USA,X-Pac,163,USA,Wrestler 1,true,DQ,9,WWF World Heavyweight Title,"",1998-12-06,Capital Carnage,London,26.613698630136987,18,11,4,6,1,6,0,2,2,1,4,6,4,5,3,1,1,1998-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,92,26.416438356164385,11,4,0,4,0,6,0,5,1,1,2,1,0,0,0,1,0,1998-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,-112
Steve Blackman,254,USA,Owen Hart,101,CAN,None,true,CO,3,"","",1998-12-13,Rock Bottom,Vancouver,35.23287671232877,2,0,0,0,0,2,0,1,1,0,-2,0,1,0,0,0,1,1998-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,392,33.62465753424657,21,10,1,6,2,11,0,8,1,0,1,2,5,0,2,2,3,1998-09-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
Goldust,123,USA,Jeff Jarrett,168,USA,None,true,DQ,5,"","",1998-12-13,Rock Bottom,Vancouver,29.695890410958903,25,9,0,7,0,15,1,11,1,1,-2,3,5,2,2,1,3,1998-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,-31,31.687671232876713,14,4,1,3,0,10,3,6,1,0,-5,1,3,0,3,1,0,1998-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-26
Mankind,209,USA,The Rock,229,USA,Wrestler 2,true,KO,7,WWF World Heavyweight Title,"",1998-12-13,Rock Bottom,Vancouver,33.53972602739726,23,10,1,5,3,12,1,7,2,1,-1,1,6,0,2,1,4,1998-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,26.632876712328766,19,12,5,6,1,6,0,2,2,1,5,7,4,6,3,1,1,1998-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,92
Steve Austin,205,USA,The Undertaker,124,USA,None,true,,8,"","""Buried Alive""",1998-12-13,Rock Bottom,Vancouver,34.00821917808219,24,15,2,12,0,8,1,3,1,1,-1,7,3,3,2,4,1,1998-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.74520547945205,47,30,4,18,0,15,3,8,0,2,-1,7,8,4,2,3,6,1998-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
Big Boss Man,95,USA,Road Dogg,192,USA,None,true,pin,1,"","",1999-01-24,Royal Rumble '99,Anaheim,37.75616438356165,10,6,1,5,0,4,2,2,0,0,-3,1,0,0,0,1,0,1998-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,49,29.7013698630137,4,3,0,3,0,1,0,1,0,0,2,0,0,0,0,0,0,1997-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,80
Ken Shamrock,234,USA,Billy Gunn,158,USA,Wrestler 1,true,sub,2,WWF Intercontinental Title,"",1999-01-24,Royal Rumble '99,Anaheim,34.97534246575343,13,8,1,0,7,5,3,1,1,0,1,4,3,2,0,2,3,1998-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,35.227397260273975,1,0,0,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,1997-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,86
X-Pac,163,USA,Gangrel,275,USA,Wrestler 1,true,pin,3,WWF European Title,"",1999-01-24,Royal Rumble '99,Anaheim,26.55068493150685,12,4,0,4,0,7,1,5,1,1,-1,1,1,0,0,1,1,1998-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,-112,29.956164383561642,2,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1998-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Sable,263,USA,Luna Vachon,176,CAN,Wrestler 1,true,,4,WWF Women's Title,strap,1999-01-24,Royal Rumble '99,Anaheim,31.487671232876714,4,1,0,1,0,3,1,1,0,0,1,1,0,0,0,1,0,1998-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,37.057534246575344,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1998-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
The Rock,229,USA,Mankind,209,USA,Wrestler 2,true,sub,5,WWF World Heavyweight Title,"""I Quit""",1999-01-24,Royal Rumble '99,Anaheim,26.747945205479454,20,12,5,6,1,7,0,2,2,1,-1,7,5,6,4,1,1,1998-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,92,33.654794520547945,24,11,1,5,3,12,1,7,2,1,1,2,6,0,2,2,4,1998-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25
Goldust,123,USA,Bluedust,280,USA,None,true,pin,1,"","",1999-02-14,St. Valentine's Day Massacre,Memphis,29.86849315068493,26,10,1,7,0,15,1,11,1,1,1,3,5,2,2,1,3,1998-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,-31,25.76164383561644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,18
Bob Holly,171,USA,Al Snow,210,USA,None,true,pin,2,WWF Hardcore Title,"""hardcore""",1999-02-14,St. Valentine's Day Massacre,Memphis,36.06849315068493,3,1,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,1996-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,-30,35.602739726027394,7,2,1,1,0,5,0,5,0,0,-2,0,0,0,0,0,0,1998-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70
Big Boss Man,95,USA,Mideon,206,USA,None,true,pin,3,"","",1999-02-14,St. Valentine's Day Massacre,Memphis,37.81369863013698,11,7,1,6,0,4,2,2,0,0,1,1,0,0,0,1,0,1999-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,49,30.156164383561645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,-77
Val Venis,270,CAN,Ken Shamrock,234,USA,Wrestler 2,true,pin,5,WWF Intercontinental Title,referee: Billy Gunn ,1999-02-14,St. Valentine's Day Massacre,Memphis,27.964383561643835,5,3,0,3,0,2,1,1,0,0,1,0,1,0,0,0,1,1998-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,-49,35.032876712328765,14,9,1,0,8,5,3,1,1,0,2,5,3,3,0,2,3,1999-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30
Mankind,209,USA,The Rock,229,USA,Wrestler 1,false,NC,7,WWF World Heavyweight Title,"""Last Man Standing""",1999-02-14,St. Valentine's Day Massacre,Memphis,33.71232876712329,25,11,1,5,3,13,1,7,3,1,-1,2,7,0,3,2,4,1999-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,26.805479452054794,21,13,5,6,2,7,0,2,2,1,1,8,5,6,4,2,1,1999-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,92
Steve Austin,205,USA,Mr. McMahon,278,USA,None,true,,8,"",steel cage,1999-02-14,St. Valentine's Day Massacre,Memphis,34.18082191780822,25,16,2,12,0,8,1,3,1,1,1,7,3,3,2,4,1,1998-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,53.512328767123286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Butterbean,251,USA,Bart Gunn,159,USA,None,true,KO,3,"","""Brawl For All""",1999-03-28,WrestleMania XV,Philadelphia,32.673972602739724,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1997-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,33.271232876712325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,-23
Mankind,209,USA,The Big Show,283,USA,None,true,DQ,4,"","",1999-03-28,WrestleMania XV,Philadelphia,33.827397260273976,26,11,1,5,3,13,1,7,3,2,-1,2,7,0,3,2,4,1999-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,27.15068493150685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,-23
Kane,197,USA,Triple H,193,USA,None,true,DQ,6,"","",1999-03-28,WrestleMania XV,Philadelphia,31.942465753424656,9,4,0,3,0,4,1,2,0,1,-1,1,0,0,0,1,0,1998-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,154,29.687671232876713,25,16,0,14,0,7,1,4,0,2,6,5,2,3,1,2,1,1998-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7
Sable,263,USA,Tori,284,USA,Wrestler 1,true,pin,7,WWF Women's Title,"",1999-03-28,WrestleMania XV,Philadelphia,31.660273972602738,5,2,0,1,0,3,1,1,0,0,2,2,0,1,0,1,0,1999-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,31.624657534246577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Shane McMahon,285,USA,X-Pac,163,USA,Wrestler 1,true,pin,8,WWF European Title,"",1999-03-28,WrestleMania XV,Philadelphia,29.216438356164385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,26.723287671232878,13,5,0,5,0,7,1,5,1,1,1,2,1,1,0,1,1,1999-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,-112
The Undertaker,124,USA,Big Boss Man,95,USA,None,true,pin,9,"","""Hell In A Cell""",1999-03-28,WrestleMania XV,Philadelphia,34.032876712328765,48,30,4,18,0,16,3,8,0,2,-2,7,8,4,2,3,6,1998-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,37.92876712328767,12,8,1,7,0,4,2,2,0,0,2,1,0,0,0,1,0,1999-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,49
Steve Austin,205,USA,The Rock,229,USA,Wrestler 1,true,pin,10,WWF World Heavyweight Title,"",1999-03-28,WrestleMania XV,Philadelphia,34.295890410958904,26,17,2,12,0,8,1,3,1,1,2,7,3,3,2,4,1,1999-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,26.92054794520548,22,13,5,6,2,7,0,2,2,2,1,8,5,6,4,2,1,1999-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,92
Al Snow,210,USA,Hardcore Holly,171,USA,Wrestler 2,true,pin,2,WWF Hardcore Title,"""hardcore""",1999-04-25,Backlash '99,Providence,35.794520547945204,8,2,1,1,0,6,0,6,0,0,-3,0,1,0,1,0,0,1999-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,36.26027397260274,4,2,0,1,0,2,0,2,0,0,2,1,0,0,0,1,0,1999-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,-30
The Godfather,142,USA,Goldust,123,USA,Wrestler 1,true,pin,3,WWF Intercontinental Title,"",1999-04-25,Backlash '99,Providence,37.967123287671235,6,2,0,1,0,3,0,1,0,1,-3,0,0,0,0,0,0,1995-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,-53,30.06027397260274,27,11,1,8,0,15,1,11,1,1,2,3,5,2,2,1,3,1999-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,-31
Mankind,209,USA,The Big Show,283,USA,None,true,pin,5,"","""Boiler Room Brawl""",1999-04-25,Backlash '99,Providence,33.9041095890411,27,12,2,5,3,13,1,7,3,2,1,2,7,0,3,2,4,1999-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,27.22739726027397,1,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,1999-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,-23
Triple H,193,USA,X-Pac,163,USA,None,true,pin,6,"","",1999-04-25,Backlash '99,Providence,29.764383561643836,26,16,0,14,0,8,2,4,0,2,-1,5,2,3,1,2,1,1999-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,26.8,14,5,0,5,0,8,1,6,1,1,-1,2,2,1,0,1,2,1999-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,-112
The Undertaker,124,USA,Ken Shamrock,234,USA,None,true,pin,7,"","",1999-04-25,Backlash '99,Providence,34.10958904109589,49,31,4,19,0,16,3,8,0,2,1,7,8,4,2,3,6,1999-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,35.224657534246575,15,9,1,0,8,6,3,2,1,0,-1,5,4,3,1,2,3,1999-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30
Steve Austin,205,USA,The Rock,229,USA,Wrestler 1,true,pin,8,WWF World Heavyweight Title,referee: Shane McMahon ,1999-04-25,Backlash '99,Providence,34.37260273972603,27,18,2,13,0,8,1,3,1,1,3,8,3,4,2,4,1,1999-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,26.997260273972604,23,13,5,6,2,8,0,3,2,2,-1,8,6,6,4,2,2,1999-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,92
Tiger Ali Singh,246,CAN,Gillberg,279,USA,None,true,pin,1,"","",1999-05-16,No Mercy,Manchester,28.205479452054796,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1998-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,215,39.87945205479452,1,0,0,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,1998-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Steve Blackman,254,USA,Droz,274,USA,None,true,sub,3,"","",1999-05-16,No Mercy,Manchester,35.654794520547945,3,1,0,0,0,2,0,1,1,0,1,0,1,0,0,0,1,1998-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,392,30.126027397260273,1,0,0,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,1998-09-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,322
Kane,197,USA,Mideon,206,USA,None,true,DQ,4,"","",1999-05-16,No Mercy,Manchester,32.07671232876712,10,5,1,3,0,4,1,2,0,1,1,1,0,0,0,1,0,1999-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,154,30.405479452054795,1,0,0,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,1999-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,-77
Nicole Bass,286,USA,Tori,284,USA,None,true,pin,5,"","",1999-05-16,No Mercy,Manchester,34.57534246575342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,31.75890410958904,1,0,0,0,0,1,0,1,0,0,-1,0,1,0,0,0,1,1999-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Shane McMahon,285,USA,X-Pac,163,USA,Wrestler 1,true,pin,6,WWF European Title,"",1999-05-16,No Mercy,Manchester,29.350684931506848,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1999-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,26.85753424657534,15,5,0,5,0,9,1,7,1,1,-2,2,2,1,0,1,2,1999-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,-112
Billy Gunn,158,USA,Mankind,209,USA,None,true,pin,7,"","",1999-05-16,No Mercy,Manchester,35.534246575342465,2,0,0,0,0,2,0,1,1,0,-2,0,1,0,0,0,1,1999-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,86,33.961643835616435,28,13,2,6,3,13,1,7,3,2,2,2,7,0,3,2,4,1999-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25
Al Snow,210,USA,Hardcore Holly,171,USA,Wrestler 1,true,pin,2,WWF Hardcore Title,"""hardcore""",1999-05-23,Over the Edge '99,Kansas City,35.87123287671233,9,3,1,2,0,6,0,6,0,0,1,1,1,0,1,1,0,1999-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,36.33698630136986,5,2,0,1,0,3,0,3,0,0,-1,1,1,0,1,1,0,1999-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,-30
Mr. Ass,158,USA,Road Dogg,192,USA,None,true,pin,4,"","",1999-05-23,Over the Edge '99,Kansas City,35.553424657534244,3,1,0,1,0,2,0,1,1,0,1,0,1,0,0,0,1,1999-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,86,30.027397260273972,5,3,0,3,0,2,0,2,0,0,-1,0,0,0,0,0,0,1999-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,80
The Rock,229,USA,Triple H,193,USA,None,true,DQ,6,"","",1999-05-23,Over the Edge '99,Kansas City,27.073972602739726,24,13,5,6,2,9,0,4,2,2,-2,8,7,6,4,2,3,1999-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,92,29.84109589041096,27,17,0,15,0,8,2,4,0,2,1,5,2,3,1,2,1,1999-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7
The Undertaker,124,USA,Steve Austin,205,USA,Wrestler 2,true,pin,7,WWF World Heavyweight Title,referee: Mr. McMahonreferee: Shane McMahon ,1999-05-23,Over the Edge '99,Kansas City,34.18630136986302,50,32,4,20,0,16,3,8,0,2,2,7,8,4,2,3,6,1999-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,34.44931506849315,28,19,2,14,0,8,1,3,1,1,4,9,3,5,2,4,1,1999-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
X-Pac,163,USA,Hardcore Holly,171,USA,None,true,DQ,1,"","",1999-06-27,King of the Ring '99,Greensboro,26.972602739726028,16,5,0,5,0,10,1,8,1,1,-3,2,3,1,0,1,3,1999-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,-112,36.43287671232877,6,2,0,1,0,4,0,4,0,0,-2,1,2,0,1,1,1,1999-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,-30
Kane,197,USA,The Big Show,283,USA,None,true,pin,2,"","",1999-06-27,King of the Ring '99,Greensboro,32.19178082191781,11,6,2,3,0,4,1,2,0,1,2,1,0,0,0,1,0,1999-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,154,27.4,2,0,0,0,0,2,1,1,0,0,-2,0,0,0,0,0,0,1999-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,-23
Mr. Ass,158,USA,Ken Shamrock,234,USA,None,true,,3,"","",1999-06-27,King of the Ring '99,Greensboro,35.64931506849315,4,2,0,2,0,2,0,1,1,0,2,0,1,0,0,0,1,1999-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,86,35.397260273972606,16,9,1,0,8,7,3,3,1,0,-2,5,4,3,1,2,3,1999-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30
Road Dogg,192,USA,Chyna,282,USA,None,true,pin,4,"","",1999-06-27,King of the Ring '99,Greensboro,30.123287671232877,6,3,0,3,0,3,0,3,0,0,-2,0,0,0,0,0,0,1999-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,80,26.515068493150686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0
Mr. Ass,158,USA,Kane,197,USA,None,true,pin,6,"","",1999-06-27,King of the Ring '99,Greensboro,35.64931506849315,5,3,0,2,0,2,0,1,1,0,3,0,1,0,0,0,1,1999-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,86,32.19178082191781,12,7,2,4,0,4,1,2,0,1,3,1,0,0,0,1,0,1999-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,154
X-Pac,163,USA,Road Dogg,192,USA,None,true,pin,7,"","",1999-06-27,King of the Ring '99,Greensboro,26.972602739726028,17,6,1,5,0,10,1,8,1,1,1,2,3,1,0,1,3,1999-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,-112,30.123287671232877,7,4,0,4,0,3,0,3,0,0,1,0,0,0,0,0,0,1999-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,80
The Undertaker,124,USA,The Rock,229,USA,Wrestler 1,true,pin,8,WWF World Heavyweight Title,"",1999-06-27,King of the Ring '99,Greensboro,34.28219178082192,51,33,4,21,0,16,3,8,0,2,3,8,8,4,2,4,6,1999-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,27.16986301369863,25,14,6,6,2,9,0,4,2,2,1,8,7,6,4,2,3,1999-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,92
Mr. Ass,158,USA,X-Pac,163,USA,None,true,pin,9,WWF King of the Ring,"",1999-06-27,King of the Ring '99,Greensboro,35.64931506849315,6,4,0,3,0,2,0,1,1,0,4,0,1,0,0,0,1,1999-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,86,26.972602739726028,18,7,1,6,0,10,1,8,1,1,2,2,3,1,0,1,3,1999-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,-112
Jeff Jarrett,168,USA,Edge,273,CAN,Wrestler 2,true,pin,1,WWF Intercontinental Title,"",1999-07-25,Fully Loaded '99,Buffalo,32.3013698630137,15,4,1,3,0,11,4,6,1,0,-6,1,3,0,3,1,0,1998-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-26,25.75068493150685,2,0,0,0,0,2,0,2,0,0,-2,0,0,0,0,0,0,1998-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,187
D-Lo Brown,247,USA,Mideon,206,USA,Wrestler 2,true,pin,3,WWF European Title,"",1999-07-25,Fully Loaded '99,Buffalo,26.775342465753425,4,3,1,2,0,1,0,1,0,0,-1,1,1,1,1,0,0,1998-10-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,24,30.5972602739726,2,0,0,0,0,2,1,1,0,0,-2,0,0,0,0,0,0,1999-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,-77
Big Boss Man,95,USA,Al Snow,210,USA,Wrestler 2,true,pin,4,WWF Hardcore Title,"""hardcore""",1999-07-25,Fully Loaded '99,Buffalo,38.25479452054795,13,8,1,7,0,5,2,3,0,0,-1,1,0,0,0,1,0,1999-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,49,36.04383561643836,10,4,1,3,0,6,0,6,0,0,2,2,1,1,1,1,0,1999-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70
The Big Show,283,USA,Kane,197,USA,None,true,pin,5,"",referee: Hardcore Holly ,1999-07-25,Fully Loaded '99,Buffalo,27.476712328767125,3,0,0,0,0,3,1,2,0,0,-3,0,0,0,0,0,0,1999-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,-23,32.26849315068493,13,7,2,4,0,5,1,3,0,1,-1,1,0,0,0,1,0,1999-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,154
Ken Shamrock,234,USA,Steve Blackman,254,USA,None,true,KO,6,"","""Iron Circle""",1999-07-25,Fully Loaded '99,Buffalo,35.47397260273973,17,9,1,0,8,8,3,3,1,0,-3,5,4,3,1,2,3,1999-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,35.846575342465755,4,2,0,0,1,2,0,1,1,0,2,0,1,0,0,0,1,1999-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,392
