Championship Match?,"Champion? (-1 if W2, 0 if neither, 1 if W1)",Card Order,Normal Match Type?,Month,Year,W1-W2 Age,W1-W2 PPV Matches,W1-W2 PPV Wins,W1-W2 PPV Wins %,W1-W2 PPV DQ Wins,W1-W2 PPV DQ % of Wins,W1-W2 PPV Pin Wins,W1-W2 PPV Pin % of Wins,W1-W2 PPV Sub Wins,W1-W2 PPV Sub % of Wins,W1-W2 PPV Losses,W1-W2 PPV DQ Losses,W1-W2 PPV DQ % of Losses,W1-W2 PPV Pin Losses,W1-W2 PPV Pin % of Losses,W1-W2 PPV Sub Losses,W1-W2 PPV Sub % of Losses,W1-W2 PPV Draws,W1-W2 PPV Streak,W1-W2 PPV Championship Wins,W1-W2 PPV Championship Losses,W1-W2 PPV Championship Defense Wins,W1-W2 PPV Championship Defense Losses,W1-W2 PPV Championship Challenge Wins,W1-W2 PPV Championship Challenge Losses,W1-W2 Last PPV Match,W1-W2 H2H PPV Matches,W1-W2 H2H PPV Wins,W1-W2 H2H PPV Wins %,W1-W2 H2H PPV DQ Wins,W1-W2 H2H PPV DQ % of Wins,W1-W2 H2H PPV Pin Wins,W1-W2 H2H PPV Pin % of Wins,W1-W2 H2H PPV Sub Wins,W1-W2 H2H PPV Sub % of Wins,W1-W2 H2H PPV Losses,W1-W2 H2H PPV DQ Losses,W1-W2 H2H PPV DQ % of Losses,W1-W2 H2H PPV Pin Losses,W1-W2 H2H PPV Pin % of Losses,W1-W2 H2H PPV Sub Losses,W1-W2 H2H PPV Sub % of Losses,W1-W2 H2H PPV Draws,W1-W2 H2H PPV Streak,W1-W2 H2H PPV Championship Wins,W1-W2 H2H PPV Championship Losses,W1-W2 H2H PPV Championship Defense Wins,W1-W2 H2H PPV Championship Defense Losses,W1-W2 H2H PPV Championship Challenge Wins,W1-W2 H2H PPV Championship Challenge Losses,W1-W2 H2H Last PPV Match,W1-W2 PWI Ranking,W1-W2 PWI Change,W1 Winner?
0,0,3,0,11,1985,-11.827397260273973,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1
0,0,3,0,11,1985,11.827397260273973,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1
0,0,4,0,11,1985,9.753424657534246,1,1,0.5,0,0.0,1,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,481075200.0,1,1,0.5,0,0.0,1,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,481075200.0,0,0,1
0,0,4,0,11,1985,-9.753424657534246,-1,-1,-0.5,0,0.0,-1,-1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,-1,0,0,0,0,0,0,-481075200.0,-1,-1,-0.5,0,0.0,-1,-1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,-1,0,0,0,0,0,0,-481075200.0,0,0,-1
0,0,5,0,11,1985,-9.758904109589041,1,1,0.5,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,1,1,0,0,0,1,0,481075200.0,1,1,0.5,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,1,1,0,0,0,1,0,481075200.0,0,0,1
0,0,5,0,11,1985,9.758904109589041,-1,-1,-0.5,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,-1,-1,0,0,0,-1,0,-481075200.0,-1,-1,-0.5,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,-1,-1,0,0,0,-1,0,-481075200.0,0,0,-1
0,0,6,0,11,1985,-7.523287671232877,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1
0,0,6,0,11,1985,7.523287671232877,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1
0,0,7,0,11,1985,-3.665753424657534,1,1,0.5,0,0.0,0,0.0,1,1.0,0,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,481075200.0,1,1,0.5,0,0.0,0,0.0,1,1.0,0,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,481075200.0,0,0,1
0,0,7,0,11,1985,3.665753424657534,-1,-1,-0.5,0,0.0,0,0.0,-1,-1.0,0,0,0.0,0,0.0,0,0.0,0,-1,0,0,0,0,0,0,-481075200.0,-1,-1,-0.5,0,0.0,0,0.0,-1,-1.0,0,0,0.0,0,0.0,0,0.0,0,-1,0,0,0,0,0,0,-481075200.0,0,0,-1
0,0,8,0,11,1985,1.0328767123287672,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1
0,0,8,0,11,1985,-1.0328767123287672,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1
0,0,9,0,11,1985,-4.2246575342465755,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1
0,0,9,0,11,1985,4.2246575342465755,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,-1
0,0,10,0,11,1985,0.2876712328767123,-1,-1,0.0,0,0.0,0,0.5,0,0.0,0,0,0.0,0,0.0,0,0.0,0,-1,0,0,0,0,0,0,0.0,-1,-1,0.0,0,0.0,0,0.5,0,0.0,0,0,0.0,0,0.0,0,0.0,0,-1,0,0,0,0,0,0,0.0,0,0,1
0,0,10,0,11,1985,-0.2876712328767123,1,1,0.0,0,0.0,0,-0.5,0,0.0,0,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0.0,1,1,0.0,0,0.0,0,-0.5,0,0.0,0,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0.0,0,0,-1
0,0,11,0,11,1985,-0.936986301369863,1,1,0.0,0,0.0,1,0.5,0,0.0,0,0,0.0,0,0.0,0,0.0,0,1,1,0,0,0,1,0,0.0,1,1,0.0,0,0.0,1,0.5,0,0.0,0,0,0.0,0,0.0,0,0.0,0,1,1,0,0,0,1,0,0.0,0,0,1
0,0,11,0,11,1985,0.936986301369863,-1,-1,0.0,0,0.0,-1,-0.5,0,0.0,0,0,0.0,0,0.0,0,0.0,0,-1,-1,0,0,0,-1,0,0.0,-1,-1,0.0,0,0.0,-1,-0.5,0,0.0,0,0,0.0,0,0.0,0,0.0,0,-1,-1,0,0,0,-1,0,0.0,0,0,-1
0,0,12,0,11,1985,-3.5315068493150683,1,1,0.0,-1,-1.0,1,0.5,1,0.5,0,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0.0,1,1,0.0,-1,-1.0,1,0.5,1,0.5,0,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0.0,0,0,0
0,0,12,0,11,1985,3.5315068493150683,-1,-1,0.0,1,1.0,-1,-0.5,-1,-0.5,0,0,0.0,0,0.0,0,0.0,0,-1,0,0,0,0,0,0,0.0,-1,-1,0.0,1,1.0,-1,-0.5,-1,-0.5,0,0,0.0,0,0.0,0,0.0,0,-1,0,0,0,0,0,0,0.0,0,0,0
0,0,13,0,11,1985,6.057534246575343,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,1
0,0,13,0,11,1985,-6.057534246575343,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,-1
1,1,14,0,11,1985,0.6821917808219178,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1
1,0,14,0,11,1985,-0.6821917808219178,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1
0,0,15,0,11,1985,-0.07671232876712329,0,0,0.0,0,0.0,-1,-0.33333333333333337,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,1,0,0,0,1,0,0.0,0,0,0.0,0,0.0,-1,-0.33333333333333337,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,1,0,0,0,1,0,0.0,0,0,1
0,0,15,0,11,1985,0.07671232876712329,0,0,0.0,0,0.0,1,0.33333333333333337,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,-1,0,0,0,-1,0,0.0,0,0,0.0,0,0.0,1,0.33333333333333337,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,-1,0,0,0,-1,0,0.0,0,0,-1
0,0,1,0,4,1986,-0.13424657534246576,1,1,0.5,1,1.0,0,0.0,0,0.0,-1,0,0.0,-1,0.0,0,0.0,1,2,0,0,0,0,0,0,0.0,1,1,0.5,1,1.0,0,0.0,0,0.0,-1,0,0.0,-1,0.0,0,0.0,1,2,0,0,0,0,0,0,0.0,0,0,0
0,0,1,0,4,1986,0.13424657534246576,-1,-1,-0.5,-1,-1.0,0,0.0,0,0.0,1,0,0.0,1,0.0,0,0.0,-1,-2,0,0,0,0,0,0,0.0,-1,-1,-0.5,-1,-1.0,0,0.0,0,0.0,1,0,0.0,1,0.0,0,0.0,-1,-2,0,0,0,0,0,0,0.0,0,0,0
1,1,2,0,4,1986,-15.594520547945205,4,3,0.25,0,0.0,3,1.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,-1,0,0,0,0,0,0,500169600.0,4,3,0.25,0,0.0,3,1.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,-1,0,0,0,0,0,0,500169600.0,0,0,1
